method,k,WCSS,BCSS,CH_index
complete,81,1596.4826845729826,1376.4447788658667,12.695502158998416
complete,82,1590.772266149911,1382.1551972889386,12.625257492277893
complete,83,1585.6156075447727,1387.3118558940769,12.547859727996087
complete,84,1581.8936432809712,1391.0338201578782,12.448590543912616
complete,85,1568.2843641108718,1404.6430993279776,12.517857065038287
complete,86,1555.4358390339778,1417.4916244048718,12.576143564324752
complete,87,1543.7635717557314,1429.1638916831182,12.616253503267009
complete,88,1538.9436610666487,1433.983802372201,12.541779674444568
complete,89,1535.6136405370423,1437.3138229018073,12.444367577551168
complete,90,1529.8237934344124,1443.103670004437,12.390265837894527
complete,91,1514.5608636261015,1458.3665998127478,12.496267469628444
complete,92,1510.5161779485218,1462.4112854903274,12.415768679722204
complete,93,1504.7055908079317,1468.2218726309175,12.366616071563662
complete,94,1499.1858323152078,1473.7416311236414,12.314275323059508
complete,95,1495.3302106787864,1477.597252760063,12.236130328954378
complete,96,1488.4426042196549,1484.4848592191945,12.209553701704992
complete,97,1484.7666940594174,1488.1607693794322,12.131835965497958
complete,98,1481.138441094696,1491.7890223441534,12.055139457536706
complete,99,1474.7473029287248,1498.1801605101248,12.024813368617027
weighted,2,2878.467474216949,94.45998922190104,41.249799594914755
weighted,3,2858.888586560074,114.03887687877639,25.050439186944054
weighted,4,2838.424701639206,134.50276179964334,19.823315606607295
weighted,5,2821.987270667588,150.94019277126185,16.768236669826056
weighted,6,2812.469740783309,160.4577226555407,14.297293483512927
weighted,7,2788.8605100379714,184.06695340087907,13.772161594818218
weighted,8,2781.3463662447957,191.5810971940548,12.309965906051856
weighted,9,2768.223451179255,204.70401225959424,11.554342515932404
weighted,10,2747.5872623284436,225.34020111040664,11.38169942147647
weighted,11,2739.2769963967053,233.6504670421452,10.644990749463002
weighted,12,2726.5165474116784,246.41091602717398,10.245321088204387
weighted,13,2701.9642173473244,270.96324609152714,10.412801498950031
weighted,14,2696.902412404965,276.0250510338862,9.801877401629737
weighted,15,2691.0912949428784,281.83616849597286,9.305948383623312
weighted,16,2684.729595010506,288.19786842834543,8.895494258147849
