method,k,silhouette_avg
complete,8,0.08208081826965982
complete,9,0.08222024090581292
complete,10,0.0818963094649676
complete,11,0.08165683633549024
complete,12,0.0214654141782769
complete,13,0.022418763723437866
complete,14,0.026372074206597124
complete,15,0.02680127443459314
complete,16,0.024864680119496108
complete,17,0.025127280388023213
complete,18,0.025389445956944895
complete,19,0.018035910309170733
complete,20,0.021026540869560087
complete,21,0.031906911148318666
complete,22,0.03166198739042653
complete,23,0.032179820271765996
complete,24,0.03271088209587998
complete,25,0.03230576762929696
complete,26,0.03267821926780255
complete,27,0.033227546473747586
complete,28,0.031799181654655714
complete,29,0.03225628865046571
complete,30,0.032384777321125525
complete,31,0.03346926193483434
complete,32,0.03345325011624579
complete,33,0.03368865263668217
complete,34,0.03290189543015445
complete,35,0.03296010222430886
complete,36,0.03276962979954613
complete,37,0.03069070837308196
complete,38,0.030748131344858053
complete,39,0.03206077896035111
complete,40,0.03211674689211943
complete,41,0.0332932739485006
complete,42,0.03142703749285054
complete,43,0.03149324445016208
complete,44,0.034243660004670926
complete,45,0.03410105681647304
complete,46,0.03067368347888808
complete,47,0.03127755661633876
complete,48,0.028575846548754426
complete,49,0.02893948203958838
complete,50,0.029106484372734404
complete,51,0.028868056985101396
complete,52,0.02519556099860867
complete,53,0.025221920347291524
complete,54,0.02610231758934866
complete,55,0.025121950185744164
complete,56,0.025158564300511072
complete,57,0.02623563428591304
complete,58,0.030722072396786464
complete,59,0.030542755501510255
complete,60,0.032632032340678074
complete,61,0.03314858452692241
complete,62,0.03737560220328578
complete,63,0.03755876124365909
complete,64,0.037305997129765185
complete,65,0.03635723430753323
complete,66,0.036418828106678486
complete,67,0.037469645770183004
complete,68,0.03783274369250879
complete,69,0.037620419479043356
complete,70,0.037589331693595206
complete,71,0.037651341545268543
complete,72,0.036695764009846976
complete,73,0.03696434017100523
complete,74,0.037700957067278766
complete,75,0.03801700488826085
complete,76,0.03916737138042526
complete,77,0.037620194731461824
complete,78,0.03760819372146464
complete,79,0.04009481717388802
complete,80,0.04033005151107853
complete,81,0.039252591599866486
complete,82,0.03931642179013154
complete,83,0.038557962487891874
complete,84,0.03867484958133977
complete,85,0.0391533701754346
complete,86,0.03980105138408168
complete,87,0.04011462178208217
complete,88,0.04033415259470208
