method,k,WCSS,BCSS,CH_index
single,97,3753.3091696467723,886.7819401600483,2.8598114132168373
single,98,3748.931378185459,891.1597316213621,2.8451721470118936
single,99,3742.8602487321527,897.2308610746626,2.837478013051002
complete,2,4104.980339166732,535.1107706400869,163.85809020247999
complete,3,3864.927549978018,775.1635598288021,125.95390451116127
complete,4,3753.7821884951763,886.3089213116431,98.77306321920791
complete,5,3727.599265146621,912.491844660198,76.74274323844733
complete,6,3696.381232618343,943.7098771884756,63.97979005426098
complete,7,3672.7362265462084,967.3548832606102,54.960309296030076
complete,8,3647.706361861289,992.3847479455247,48.62050663868106
complete,9,3635.5538340695202,1004.5372757372932,43.173325577813635
complete,10,3609.927418476107,1030.163691330707,39.602964618767544
complete,11,3600.9043289629944,1039.1867808438196,36.01609440333495
complete,12,3486.945532670989,1153.1455771358305,37.48976709155165
complete,13,3464.9797787582006,1175.1113310486187,35.213979397096786
complete,14,3370.358358761789,1269.73275104503,36.07964373698111
complete,15,3357.4491569263987,1282.6419528804201,33.94597919868327
complete,16,3344.5819880382946,1295.509121768524,32.09803884047861
complete,17,3324.3716633861577,1315.719446420661,30.72241384838808
complete,18,3306.351082597032,1333.740027209787,29.447272704578893
complete,19,3255.8891569577836,1384.2019528490346,29.287279121841603
complete,20,3221.904728269706,1418.1863815371123,28.70372905271659
complete,21,3098.983664241644,1541.1074455651726,30.782527827176622
complete,22,3091.3046581891604,1548.7864516176562,29.51210160803134
complete,23,3079.143148555764,1560.9479612510524,28.480941066809315
complete,24,3062.9719870893355,1577.1191227174809,27.64780096168565
complete,25,3042.6708738118105,1597.4202359950057,26.99405463392989
complete,26,3034.227286498218,1605.8638233085983,26.102594264448022
complete,27,2994.186875107686,1645.904234699131,26.04731847885183
complete,28,2985.29863963579,1654.7924701710267,25.272606872926485
complete,29,2977.079826625154,1663.0112831816632,24.53871383844628
complete,30,2970.2358053693365,1669.8553044374805,23.82548754202797
complete,31,2956.3281212634306,1683.7629885433862,23.313390407733593
complete,32,2950.1571588165793,1689.9339509902375,22.672919596932108
